col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1,71,70,6,65,53,14,87,33
12,90,75,46,34,54,23,24,36
31,72,90,53,58,22,75,19,75
1,56,70,55,20,11,17,40,13
50,95,69,80,2,33,31,87,18
35,87,78,73,61,3,54,46,83
25,49,16,41,60,55,60,58,38
49,27,84,17,93,15,91,87,11
4,75,95,34,95,13,3,1,74
48,38,60,42,45,13,55,60,77
86,47,77,48,31,77,17,93,30
81,97,25,90,59,63,73,47,0
7,89,70,88,36,31,71,70,64
83,45,40,36,67,31,81,62,62
9,4,58,68,68,49,55,89,68
63,52,53,98,9,30,8,36,47
87,92,81,31,12,69,67,74,64
39,68,59,58,96,43,84,98,67
31,26,23,78,7,21,64,58,59
75,11,7,92,6,76,27,41,68
85,37,96,87,89,48,63,96,72
86,51,45,34,15,99,91,82,94
57,58,79,18,22,1,62,41,12
27,77,44,42,47,28,18,51,18
80,25,81,84,58,39,21,29,77
86,38,39,27,62,90,18,95,64
2,53,45,98,51,62,96,36,37
87,5,18,15,19,20,6,16,52
52,9,65,62,83,54,35,21,17
4,92,5,4,71,63,30,10,5
36,22,40,26,62,19,57,78,63
90,21,55,68,77,24,15,37,30
32,79,64,56,7,60,3,53,34
52,86,44,14,16,61,47,78,52
15,64,33,9,12,78,31,93,90
4,52,19,33,10,43,55,91,93
23,78,51,17,84,72,65,9,2
77,89,26,65,8,6,65,18,9
29,81,51,23,11,12,40,42,94
90,8,16,8,76,4,52,28,40
40,36,29,47,37,72,72,78,88
28,38,26,18,59,38,90,76,64
69,67,75,94,30,21,66,89,92
41,49,79,73,59,19,54,69,73
4,18,52,42,75,43,9,10,80
89,3,37,92,0,25,44,4,7
72,43,54,60,31,10,3,22,20
16,37,6,33,1,90,39,33,66
30,16,53,82,51,31,46,63,98
7,30,68,81,57,64,12,22,15
90,7,35,38,26,8,55,26,12
85,2,32,36,2,45,13,96,7
15,19,99,51,99,28,19,19,82
49,39,81,57,33,75,39,26,88
52,97,41,50,16,91,63,52,16
64,32,0,46,68,49,14,17,32
81,8,17,0,81,8,0,66,30
39,37,1,65,4,58,77,67,26
22,19,56,61,96,26,60,1,12
3,4,70,59,1,97,59,25,85
95,85,99,35,94,54,65,87,13
38,55,13,97,98,88,94,6,9
89,73,23,18,73,69,61,20,76
39,37,70,80,7,20,86,93,78
70,69,26,77,1,84,28,27,58
60,9,56,1,0,91,36,48,35
25,83,44,55,19,73,23,84,67
98,31,54,27,56,80,5,11,43
48,17,63,41,59,87,20,64,42
87,21,6,79,60,94,95,83,78
34,98,46,9,93,19,45,12,7
26,13,62,93,1,24,47,59,70
60,39,98,32,88,68,77,77,41
14,63,80,50,98,40,4,93,29
96,86,76,6,66,83,86,22,59
29,50,59,14,3,71,13,29,55
59,85,79,31,18,90,41,44,12
76,95,47,80,42,18,25,62,20
95,31,42,89,89,18,87,13,98
15,84,65,60,53,13,91,94,3
55,82,82,83,71,9,90,29,56
67,93,26,80,95,58,36,41,26
85,25,75,22,55,10,94,24,0
15,55,4,15,46,98,48,47,64
29,87,6,0,91,76,63,82,32
87,58,61,82,76,44,69,78,16
82,93,29,31,62,38,70,54,91
29,94,92,62,97,88,43,25,7
33,30,95,99,76,29,27,62,66
72,92,38,61,74,74,47,88,7
15,75,21,56,50,91,44,62,40
90,55,35,37,60,38,92,30,12
61,44,89,79,66,80,38,41,88
15,43,67,34,93,47,97,69,91
15,64,76,85,27,78,83,44,93
17,71,37,95,60,27,99,89,95
50,10,60,71,86,55,35,69,83
36,98,63,15,48,28,8,88,47
89,37,48,71,37,97,61,74,78
84,86,2,66,11,58,75,48,94
79,40,89,75,42,16,0,45,95
10,1,25,87,32,7,54,12,8
63,78,95,8,43,32,45,54,37
0,96,48,90,77,8,46,69,40
33,1,16,5,22,12,85,11,72
37,88,96,93,15,25,65,70,33
48,76,20,81,66,53,54,54,57
83,57,47,12,76,62,21,57,65
67,68,39,28,4,95,98,13,68
21,18,25,29,55,16,61,16,34
73,74,6,84,71,20,80,13,76
92,97,73,19,9,89,16,29,46
45,86,1,85,28,44,27,76,0
77,89,90,62,70,86,89,75,26
35,4,8,9,57,38,73,33,55
36,36,26,49,1,67,38,15,97
50,1,93,2,67,29,78,22,62
31,6,88,59,67,40,30,29,27
67,20,93,30,70,58,81,85,12
52,88,81,82,8,60,86,59,70
23,63,34,8,13,75,79,15,15
78,39,69,59,4,28,78,36,20
17,55,97,6,5,94,89,56,35
16,80,28,79,77,35,57,78,80
7,0,44,4,23,69,24,59,8
58,75,68,72,20,89,41,2,94
52,13,40,77,72,71,38,84,63
1,1,35,31,55,78,77,51,19
54,61,42,0,56,45,41,32,68
91,69,6,7,78,67,38,43,24
35,23,50,33,2,1,76,88,89
38,16,36,17,68,82,29,91,20
77,8,53,78,39,2,91,8,28
16,81,83,95,16,37,58,90,25
5,83,17,33,61,79,96,39,27
24,56,57,34,59,37,58,27,32
4,30,34,1,27,81,17,70,30
48,50,10,9,62,51,26,29,50
96,26,25,79,82,43,72,14,93
8,57,31,59,90,49,56,50,98
30,57,88,30,41,52,31,11,13
87,7,99,8,42,52,37,6,86
75,98,54,97,24,82,91,39,85
64,22,59,11,1,91,43,94,47
2,38,5,43,43,97,74,21,89
11,36,71,79,70,72,70,47,62
70,94,80,42,54,26,63,19,24
21,67,62,40,10,4,16,16,86
67,19,85,19,42,94,5,8,71
95,13,78,76,26,71,26,31,4
43,43,55,99,76,82,24,76,67
19,25,17,9,39,14,7,70,9
36,14,77,50,13,66,47,6,38
94,21,77,16,17,47,6,68,39
12,25,95,5,17,8,52,26,38
48,69,26,44,37,77,82,49,42
55,53,12,57,1,42,84,69,96
74,0,14,82,64,11,63,3,82
52,92,83,95,73,64,62,78,56
84,14,48,77,23,66,65,35,39
15,54,9,24,2,83,75,49,77
91,26,63,86,93,40,77,39,3
94,31,32,4,27,5,69,4,42
6,85,36,29,68,14,58,49,96
8,53,89,61,74,9,35,24,71
89,27,95,56,78,9,97,36,89
12,43,43,52,48,13,94,19,63
43,46,92,44,20,35,96,92,54
2,69,34,45,52,8,25,75,8
9,10,30,48,44,98,45,71,45
63,43,18,22,42,35,19,60,43
46,72,38,72,66,38,60,58,85
53,21,42,59,91,47,81,3,99
39,33,87,57,12,6,7,15,61
86,39,7,49,95,27,34,79,40
52,43,23,52,17,94,76,37,84
35,22,42,50,78,30,57,85,58
39,69,5,95,82,22,8,93,44
98,32,24,77,21,27,26,80,77
61,77,13,18,92,78,15,59,21
53,27,46,78,38,44,63,35,72
43,67,37,90,6,14,36,7,59
66,93,80,85,19,94,27,51,23
76,95,40,3,29,68,70,28,84
95,9,4,76,98,89,4,35,41
90,4,71,27,22,78,34,75,88
29,49,78,17,70,61,89,49,27
30,14,94,24,5,0,72,6,77
25,86,63,51,31,96,21,99,1
9,36,77,61,43,12,34,40,99
94,88,90,79,67,41,35,47,36
15,74,30,40,58,78,97,50,70
37,4,24,72,23,39,29,72,61
37,45,89,71,15,17,43,27,60
68,42,97,45,77,39,92,54,92
40,69,71,95,6,75,56,69,42
57,39,42,23,15,17,3,60,93
22,82,51,85,76,99,30,70,39
55,65,23,54,17,82,27,73,10
32,9,57,16,3,46,68,77,16
90,29,28,89,96,3,59,88,82
34,26,6,29,26,18,18,28,63
96,82,94,23,47,38,79,10,89
85,71,77,12,17,0,34,99,55
67,89,99,32,41,50,57,14,61
92,40,14,10,50,71,48,90,66
8,94,53,0,19,9,75,75,41
43,67,64,97,26,74,65,37,73
10,89,34,62,22,51,13,86,63
68,85,47,65,83,27,31,25,65
44,33,5,27,37,88,83,52,4
95,64,57,37,75,67,58,49,14
37,62,87,98,26,0,22,27,84
44,79,13,11,2,1,55,60,34
36,41,92,47,13,98,78,17,98
49,19,1,69,53,14,59,34,28
52,16,69,74,15,57,17,11,85
49,29,55,53,60,51,57,20,2
27,25,90,52,97,66,58,66,60
5,22,69,98,31,27,33,53,19
35,18,16,93,65,9,84,71,18
33,18,14,24,92,37,72,41,26
65,17,97,67,82,54,23,9,55
60,76,62,72,10,52,60,53,10
33,62,50,49,26,62,38,70,55
71,53,64,90,60,72,24,8,47
29,72,46,49,98,74,42,56,0
98,71,55,47,76,99,86,96,78
29,64,76,89,0,92,55,96,9
69,57,16,52,31,73,80,25,70
21,78,58,89,82,47,67,71,39
39,38,46,64,72,60,96,47,92
3,97,9,36,72,84,52,7,66
70,51,46,24,49,65,0,47,27
49,47,52,72,77,97,36,69,7
69,75,44,78,17,33,34,58,32
56,37,94,8,58,27,48,6,42
4,98,39,29,85,75,22,19,11
98,20,84,66,88,24,77,72,32
49,69,11,43,24,18,56,65,34
45,46,92,22,15,63,62,70,45
12,65,1,10,19,93,71,16,94
36,58,55,8,67,74,61,77,97
54,47,79,25,61,84,60,7,94
19,64,61,54,77,83,69,30,23
49,26,91,45,67,10,52,47,49
44,48,22,65,20,95,18,58,59
3,63,26,51,65,77,36,88,20
20,23,69,2,32,68,66,14,78
19,37,78,33,42,29,11,11,92
81,61,33,20,67,12,9,93,1
98,43,23,88,0,7,19,12,47
43,95,92,67,92,4,22,26,3
19,68,89,27,74,94,45,4,4
73,92,56,9,28,1,91,86,62
74,31,11,79,2,86,13,38,18
54,9,40,90,75,12,64,18,15
79,6,27,99,25,66,71,82,39
33,32,76,26,22,69,87,35,60
10,8,47,67,51,13,3,2,36
28,0,98,10,21,73,66,43,85
2,67,35,40,26,40,45,13,77
87,39,2,5,74,98,58,42,75
13,65,35,39,0,50,67,17,81
61,82,20,53,31,54,69,78,8
59,41,63,73,98,39,46,65,82
57,27,51,93,22,40,22,69,31
69,11,70,38,84,47,81,52,42
95,11,74,98,3,23,62,7,7
1,22,28,31,49,22,49,5,31
0,32,61,61,75,14,90,68,62
33,28,68,93,51,19,11,75,68
7,46,31,69,82,80,37,85,64
3,10,80,65,40,53,55,66,34
92,17,22,54,50,69,81,10,32
34,14,51,45,82,63,37,14,31
6,59,80,43,84,65,73,16,89
48,12,96,80,25,63,15,84,11
49,21,63,16,0,81,45,48,4
42,25,23,72,95,55,80,3,35
39,95,71,39,24,10,59,1,39
50,83,40,86,20,60,12,91,77
90,75,48,38,28,93,81,34,84
47,42,65,80,68,64,77,78,25
38,33,64,6,44,99,33,29,87
51,92,96,61,93,59,24,43,69
0,24,96,92,45,32,84,56,33
40,76,39,62,35,12,45,63,27
65,80,45,41,45,27,98,5,94
61,24,46,26,32,50,48,16,74
80,73,89,2,88,18,33,90,57
11,52,20,22,42,3,4,26,86
53,97,10,31,83,89,28,61,57
3,53,39,9,53,72,33,9,18
72,60,57,37,16,28,31,28,0
60,98,29,72,92,26,41,69,3
3,22,74,19,71,50,41,20,59
31,91,68,15,66,81,16,3,43
67,73,47,5,20,56,59,7,83
50,91,16,74,39,10,2,32,78
43,67,76,26,74,65,56,0,71
58,22,96,64,76,67,10,98,48
13,58,96,81,56,82,11,50,52
2,11,11,31,98,86,5,23,92
9,80,6,49,60,57,67,32,95
53,55,11,66,35,50,80,41,97
20,74,90,18,36,4,50,7,91
24,89,58,91,5,54,51,37,53
9,27,68,13,62,90,56,85,10
97,21,30,59,96,92,11,97,66
6,28,71,21,44,67,56,59,57
91,9,7,59,66,60,90,43,31
63,39,37,29,3,22,78,6,71
17,39,66,49,85,86,38,33,67
81,50,96,3,91,51,83,82,29
47,30,72,51,14,8,92,95,7
21,77,87,35,59,43,63,7,6
9,46,16,88,24,61,8,65,52
4,35,73,76,63,81,40,81,70
99,49,72,49,95,62,51,28,37
39,20,68,26,31,17,28,51,77
22,65,39,98,57,15,98,97,82
98,52,83,63,49,41,38,36,36
11,67,67,60,7,37,30,99,64
92,2,41,26,60,90,99,94,75
90,97,36,68,83,49,42,46,9
71,1,93,47,58,33,44,59,22
74,36,21,71,16,87,43,93,60
86,31,0,94,81,39,11,69,9
67,53,33,55,66,16,53,98,91
74,9,83,56,39,83,17,47,25
72,79,25,27,41,27,6,14,68
6,39,76,48,6,70,42,30,9
41,90,41,78,45,2,23,15,70
50,37,21,95,60,38,78,69,52
11,72,39,74,82,94,45,26,87
82,76,70,52,86,48,17,71,87
71,34,47,96,53,54,86,46,79
87,57,52,21,35,7,23,14,71
53,17,91,46,87,40,37,44,85
44,13,34,91,99,66,61,25,42
48,68,2,59,84,14,96,59,29
40,44,50,55,83,25,95,8,69
81,32,27,61,22,78,80,66,0
1,69,12,25,25,96,79,21,72
7,29,65,12,92,1,10,14,7
36,30,0,41,38,76,23,46,64
68,61,50,59,24,79,44,77,38
31,76,74,79,60,61,61,42,21
66,91,18,91,59,29,26,25,95
74,67,37,99,51,31,50,93,4
29,15,4,8,26,15,4,32,47
38,83,89,62,53,74,22,19,79
69,92,80,6,89,0,74,5,94
69,28,15,14,81,90,16,14,93
50,62,35,81,31,81,66,19,65
83,38,71,39,10,62,78,38,45
61,28,65,80,61,19,34,41,58
2,7,31,16,79,43,47,48,17
69,64,31,18,54,12,72,78,88
30,32,70,32,22,88,75,10,74
63,5,75,45,20,95,65,5,40
12,63,14,12,59,91,58,58,53
67,73,82,54,36,7,38,61,41
12,30,63,4,71,55,49,59,60
17,59,21,18,36,3,3,91,88
53,63,21,31,68,76,18,58,0
58,3,59,92,70,46,40,65,14
88,24,65,41,60,97,50,89,90
45,51,2,60,31,95,76,55,26
65,83,89,36,44,83,64,69,73
77,58,38,11,86,2,88,38,95
51,72,51,42,15,89,75,31,43
74,63,2,33,85,92,70,40,14
98,75,21,1,45,49,42,71,64
71,87,39,12,30,47,3,57,10
68,48,7,1,92,5,16,14,11
33,56,0,88,81,45,4,14,89
85,34,82,86,3,65,68,31,55
10,67,36,37,8,98,55,94,73
9,97,66,52,73,37,68,95,51
50,18,58,66,76,27,8,24,72
25,43,99,40,15,63,49,46,8
28,79,17,32,27,92,26,13,32
82,94,12,11,58,6,92,30,8
20,89,79,43,20,89,37,79,92
93,61,58,27,87,98,68,78,24
7,51,33,12,55,59,67,82,39
80,93,50,18,37,68,46,50,0
12,75,15,81,58,94,26,39,27
48,39,83,51,79,83,20,4,32
91,29,98,36,78,37,49,66,1
91,12,86,23,2,92,72,90,53
28,84,39,9,35,48,79,3,65
22,8,4,57,88,34,34,44,0
19,62,5,35,89,69,64,51,98
8,89,92,58,40,74,70,91,84
33,24,6,80,45,68,46,69,19
76,5,10,86,97,54,84,15,4
37,78,8,55,66,0,44,45,51
97,40,76,93,54,50,13,2,41
4,12,17,80,18,96,50,67,56
83,86,7,67,1,62,67,31,25
34,95,53,18,22,25,75,33,18
0,74,8,32,45,35,80,68,43
88,92,66,47,71,24,82,34,30
94,53,21,37,36,95,72,59,71
13,0,75,73,1,8,34,57,77
21,18,59,95,46,8,4,74,67
85,80,59,52,0,92,22,51,80
10,56,4,22,4,37,33,60,0
86,74,8,92,56,48,39,59,82
87,32,54,4,43,99,79,96,67
32,22,21,8,94,25,13,15,3
53,4,92,3,58,3,64,83,2
85,1,5,9,87,44,57,4,11
40,27,17,49,40,20,15,31,95
23,39,15,20,13,52,38,82,74
86,58,43,59,55,9,20,29,74
33,92,67,84,70,28,1,23,39
49,90,83,98,28,44,94,1,40
88,51,57,46,17,9,30,23,18
21,56,64,36,29,23,96,28,20
74,87,79,86,8,29,60,88,50
87,69,35,55,90,27,63,95,80
51,33,39,70,28,37,51,80,16
3,62,6,92,8,46,27,19,75
96,60,85,87,31,69,34,94,92
52,30,0,25,41,74,45,0,98
68,73,54,40,5,29,80,26,5
46,22,73,82,31,7,70,49,69
9,73,18,75,45,54,34,27,9
53,85,85,30,75,11,93,98,69
25,65,72,79,67,43,23,18,90
70,20,31,61,84,45,60,37,13
82,25,87,69,24,75,51,45,91
96,79,66,89,34,79,34,45,44
50,90,40,22,34,54,64,44,68
71,91,45,4,41,37,51,58,70
31,72,74,17,86,78,73,72,21
24,61,92,82,66,99,99,14,18
97,68,25,81,78,65,74,88,29
15,11,96,14,0,82,8,51,97
38,71,74,48,19,55,45,78,9
15,83,71,23,61,44,42,36,22
16,79,55,68,42,94,99,96,76
41,59,99,12,36,33,4,56,93
57,2,20,37,85,68,76,37,55
52,54,26,13,82,37,56,44,46
64,57,52,24,68,18,59,66,12
83,98,63,92,10,30,18,79,4
65,20,37,4,54,4,2,47,35
8,45,95,25,91,90,43,30,81
35,2,80,96,1,24,73,55,22
13,36,6,7,80,60,90,89,66
19,61,87,68,94,31,95,71,39
39,83,53,18,17,44,89,34,5
46,22,77,26,66,78,39,34,72
56,30,16,82,39,32,15,61,23
68,85,47,51,8,19,73,0,26
73,63,8,65,83,94,87,22,62
68,33,45,22,86,53,10,77,93
47,99,59,65,85,67,45,38,36
13,60,67,39,19,32,18,14,81
1,77,49,62,13,12,25,87,42
17,67,10,14,0,62,81,76,22
9,66,24,28,15,36,67,77,99
65,63,38,89,47,71,25,85,81
17,75,29,56,60,38,7,69,62
38,2,87,94,59,37,29,89,63
27,82,91,19,65,46,70,89,47
76,87,55,90,66,68,89,88,42
27,39,3,39,11,27,24,81,23
64,29,59,22,5,24,51,58,47
25,12,63,82,45,66,34,5,98
12,99,18,91,1,63,2,70,30
28,57,8,15,18,6,89,13,28
15,82,72,25,0,77,22,42,6
32,52,60,32,5,93,22,74,17
90,52,37,10,5,42,14,34,37
43,88,68,11,53,91,51,46,68
49,79,33,51,79,86,37,31,34
34,15,35,33,46,84,37,68,31
24,20,6,33,62,55,67,99,99
89,49,64,22,31,66,65,18,84
76,75,73,49,28,35,52,52,68
44,27,93,34,75,84,38,43,42
4,0,4,41,7,83,41,29,83
30,1,45,58,75,48,75,62,66
83,90,18,72,26,56,23,6,11
4,2,10,37,86,68,52,2,77
83,1,89,14,95,24,6,9,26
2,48,81,43,28,58,29,50,43
26,82,53,87,13,33,36,45,15
52,85,28,96,42,4,59,93,55
52,15,11,9,15,25,73,91,11
58,64,86,52,3,54,59,98,65
32,23,0,25,6,50,98,13,34
37,79,42,54,96,66,79,26,67
35,53,97,76,58,2,38,90,50
22,66,67,61,75,12,14,54,19
71,36,70,66,84,64,7,97,2
24,53,53,57,72,47,98,99,71
71,1,80,36,5,4,31,14,60
27,77,54,64,69,1,50,43,8
30,30,50,4,42,47,48,21,74
78,59,96,46,94,96,66,60,68
93,14,99,52,71,97,34,1,81
52,94,83,83,58,39,20,25,20
86,19,56,77,3,7,7,94,17
29,76,37,34,6,26,35,68,68
10,49,21,78,49,96,5,58,20
5,64,81,38,78,92,11,22,76
72,25,89,7,49,49,91,39,39
74,68,46,81,61,41,3,82,92
44,38,39,35,32,39,72,3,10
67,30,33,79,70,60,48,36,98
95,41,92,19,88,16,28,86,74
52,24,4,40,31,15,50,73,8
88,31,51,18,56,3,39,27,62
55,84,42,37,84,12,34,39,62
4,79,56,44,55,98,59,8,29
8,44,55,49,52,70,46,56,18
33,75,66,56,71,57,28,64,72
42,42,49,28,95,50,68,46,49
49,92,95,38,67,16,20,85,42
56,77,19,39,49,50,75,69,4
84,11,12,98,99,21,39,90,0
56,46,85,9,88,74,25,29,2
10,46,62,89,21,98,2,30,57
0,92,8,85,52,18,12,62,40
24,91,72,99,90,37,33,85,77
92,68,86,63,97,76,30,15,58
19,59,53,11,12,92,97,28,69
16,59,14,51,99,77,1,8,38
91,57,61,20,26,43,37,80,42
22,44,20,75,43,64,55,16,85
91,76,6,29,5,70,23,66,16
32,64,80,39,85,8,64,1,67
41,48,73,59,10,54,39,26,69
58,19,74,51,31,35,36,70,47
25,90,71,21,59,51,80,19,3
20,64,16,62,28,7,95,24,64
68,36,55,64,35,69,61,97,66
27,39,64,15,13,49,22,53,24
65,31,0,90,68,43,97,3,34
26,71,97,8,82,46,8,51,23
13,6,95,86,20,96,0,25,81
61,27,87,1,9,45,97,98,41
42,89,10,81,36,1,91,69,4
86,70,70,7,99,62,67,19,42
98,18,61,2,10,82,59,65,79
40,91,55,80,39,88,84,3,73
57,9,73,61,14,84,88,47,33
95,44,5,1,63,17,62,59,15
29,72,31,96,7,67,64,50,40
75,4,13,86,56,2,35,79,97
75,86,5,13,65,82,74,76,51
79,27,36,80,23,12,25,71,87
74,78,67,61,83,38,47,92,35
93,57,41,27,69,46,18,17,39
25,2,69,65,58,76,64,35,17
76,46,44,27,45,14,35,25,80
31,90,76,6,13,16,47,99,65
69,50,53,36,46,73,44,80,48
62,10,98,74,83,66,29,29,59
30,57,66,52,36,35,1,35,75
99,51,50,7,78,24,40,8,57
64,68,84,48,87,8,55,51,86
81,94,21,0,28,62,55,18,62
3,22,83,22,3,95,34,1,54
78,49,3,83,95,22,91,93,59
69,82,76,42,81,21,33,1,29
47,40,48,48,0,7,58,82,60
9,31,35,75,31,72,2,22,33
85,69,36,26,49,60,30,18,35
22,14,92,91,31,96,74,24,92
51,7,27,19,47,87,49,2,44
94,90,2,34,74,38,4,2,7
4,62,99,25,80,39,54,99,91
37,2,92,11,81,41,59,32,39
24,57,81,44,69,36,65,83,49
15,43,58,79,91,28,72,41,32
20,15,67,82,30,65,97,27,25
5,19,61,9,66,50,71,21,88
18,11,90,97,37,91,15,17,52
82,3,38,91,9,86,44,54,9
92,15,29,42,27,18,79,67,64
67,25,43,61,6,70,41,31,42
6,43,14,55,37,31,77,71,51
65,88,6,54,39,82,8,60,96
72,12,31,60,4,5,99,72,28
91,50,71,34,31,97,23,9,16
30,8,75,86,40,85,96,48,90
84,1,41,72,12,44,14,85,32
80,13,26,5,17,33,42,65,16
52,87,40,40,29,66,57,58,85
74,41,92,45,22,90,75,86,18
4,19,8,95,60,3,85,15,0
85,30,24,23,89,12,20,55,93
36,80,38,99,18,27,4,99,10
72,24,85,13,24,87,67,52,78
76,47,97,25,70,22,64,24,91
31,57,48,33,21,39,70,59,46
79,43,29,93,81,95,94,32,62
60,61,24,75,90,24,48,39,53
11,11,10,69,77,30,40,65,3
31,56,29,82,0,17,98,49,40
38,3,36,67,52,90,7,94,56
90,89,63,27,60,26,60,21,23
10,67,50,63,17,24,62,41,21
49,42,6,25,47,50,47,61,53
48,46,10,47,1,55,90,45,25
90,3,47,56,4,86,15,68,29
74,94,49,13,96,68,77,59,89
42,36,56,6,64,65,86,16,55
85,16,45,8,88,11,73,71,60
85,1,13,88,68,82,42,22,69
70,43,42,81,94,64,32,67,60
23,74,77,27,29,90,17,12,18
18,21,53,64,7,23,15,36,98
65,38,10,78,6,30,18,17,21
7,5,2,1,15,87,35,47,47
98,14,7,35,39,15,94,45,17
7,21,19,51,63,77,97,15,98
74,48,46,82,65,79,39,49,90
89,73,36,57,46,73,26,85,29
29,84,41,23,33,67,65,82,26
79,26,67,88,33,16,10,54,96
23,87,62,1,5,84,32,36,12
74,90,58,60,99,4,83,8,35
40,89,59,71,41,89,84,62,29
81,64,72,48,76,69,7,19,6
54,65,27,38,12,44,74,44,84
70,53,4,75,85,17,81,11,95
63,62,85,71,78,81,52,8,41
9,37,83,11,27,90,17,21,47
34,28,15,17,89,52,68,25,54
94,77,88,29,57,49,77,92,52
4,88,54,27,93,47,71,58,46
79,77,42,36,61,72,59,12,21
64,48,61,44,26,46,89,58,36
96,1,33,98,97,53,38,12,77
5,80,97,57,29,79,16,96,77
17,59,75,13,76,65,20,8,64
99,87,24,67,0,77,58,50,55
94,87,21,7,11,5,48,48,59
1,37,14,32,77,55,98,59,16
81,29,83,95,52,74,44,8,62
90,91,34,82,84,57,23,92,3
98,85,61,43,90,38,43,29,93
3,39,88,78,11,4,78,29,87
60,73,20,38,17,95,42,34,16
89,39,81,94,61,99,81,15,97
96,34,89,99,85,66,58,43,66
12,77,15,63,42,38,53,19,20
24,55,65,93,0,88,75,45,15
71,16,11,37,33,95,37,31,66
28,69,18,74,47,57,75,56,50
82,81,54,94,31,86,29,46,48
65,70,21,50,17,43,93,17,81
52,76,46,55,3,55,59,89,30
8,68,84,73,5,15,23,88,28
77,28,0,78,32,94,75,7,86
56,71,73,14,61,47,36,29,32
71,35,95,42,16,67,55,83,27
64,59,70,66,27,61,88,17,76
98,11,50,69,99,63,86,60,7
89,58,23,85,2,13,57,84,73
72,5,37,71,56,58,99,93,29
37,63,64,6,77,36,43,87,79
17,22,54,95,69,11,39,21,31
86,2,30,59,33,12,45,58,60
